value_sequence,finalLabel,original_index,original_len,generated_window_id,new_len
0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500 0.50677082,1,2,19,0,20
0.50242069 0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500,1,2,19,1,20
0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500 0.49977834,1,2,19,2,20
0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500 0.51102429,1,2,19,3,20
0.50235044 0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500,1,2,19,4,20
0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500 0.51298559,1,2,19,5,20
0.50211682 0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500,1,2,19,6,20
0.50222961 0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500,1,2,19,7,20
0.49163978 0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500,1,2,19,8,20
0.50104300 0.52881400 0.54361500 0.56909800 0.58588200 0.59198600 0.58649300 0.56375700 0.53415500 0.49310900 0.45496200 0.43405700 0.42627500 0.42932700 0.44153400 0.46762700 0.49036200 0.50180600 0.50760500 0.50632010,1,2,19,9,20
0.50054900 0.49948100 0.49932800 0.50009100 0.50024400 0.49963300 0.50054900 0.49993800 0.50100700 0.50039600 0.50024400 0.50024400 0.50009100 0.50115900 0.50085400 0.50085400 0.50085400 0.50054900 0.50177000 0.50360100,0,3,20,0,20
0.50543200 0.50573700 0.50573700 0.50512600 0.50497400 0.50497400 0.50299000 0.50299000 0.50375300 0.50390600 0.50482100 0.50421100 0.50344800 0.49200400 0.51809600 0.50421100 0.50222700 0.50024400 0.50238000 0.49993800,0,4,20,0,20
0.49926700 0.50292900 0.51727200 0.53939700 0.58700500 0.63720600 0.65917900 0.66101000 0.65170200 0.59371800 0.51483100 0.42449800 0.35186700 0.32348500 0.31188900 0.32699500 0.37643300 0.42571900 0.45898300 0.48309200,1,5,21,0,20
0.50292900 0.51727200 0.53939700 0.58700500 0.63720600 0.65917900 0.66101000 0.65170200 0.59371800 0.51483100 0.42449800 0.35186700 0.32348500 0.31188900 0.32699500 0.37643300 0.42571900 0.45898300 0.48309200 0.49087400,1,5,21,1,20
0.51157200 0.48563200 0.50989400 0.51508200 0.50867300 0.50897800 0.51035100 0.51203000 0.50989400 0.51035100 0.50668900 0.51203000 0.50928300 0.50882500 0.50531600 0.50958800 0.50928300 0.50928300 0.51004600 0.50989400,0,6,20,0,20
0.50314300 0.50314300 0.50283800 0.50375300 0.50238000 0.50115900 0.50390600 0.49749700 0.49810700 0.49963300 0.50207500 0.50100700 0.50146400 0.49948100 0.50161700 0.49078300 0.50283800 0.50421100 0.50070100 0.50711000,0,7,20,0,20
0.49987232 0.50880021 0.49636861 0.49284388 0.49732074 0.49756577 0.50495739 0.50285254 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600,1,8,12,0,20
0.50740536 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.49302527 0.48797191 0.49595836 0.48328125 0.48045486 0.48177412 0.49416252,1,8,12,1,20
0.49491029 0.50172897 0.49473049 0.50564782 0.50062745 0.49932030 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.48591718 0.49235853,1,8,12,2,20
0.49893481 0.49343283 0.49404202 0.51097751 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.49781101 0.49371871 0.48521887 0.49899822,1,8,12,3,20
0.50606062 0.50069177 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.48534370 0.48189839 0.49769388 0.48893956 0.48397463 0.48600426,1,8,12,4,20
0.50329780 0.49522137 0.50886465 0.50689605 0.50611225 0.50034522 0.50426287 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.49145367,1,8,12,5,20
0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.48166433 0.48815648 0.48082519 0.48968827 0.48647260 0.48284143 0.48203578 0.49152315,1,8,12,6,20
0.49509735 0.51023945 0.50333476 0.49863493 0.50353252 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.48045666 0.49879020 0.48945928,1,8,12,7,20
0.49333409 0.50144026 0.50152150 0.51049444 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.49121131 0.48928660 0.48524053 0.48650606,1,8,12,8,20
0.50212286 0.50048206 0.49210756 0.50825613 0.50965828 0.49448840 0.50279241 0.50170800 0.50903200 0.53039400 0.55358800 0.56243800 0.54397500 0.49224800 0.44769200 0.43273800 0.44433500 0.47134300 0.48980600 0.48213712,1,8,12,9,20
0.50177000 0.50177000 0.50238000 0.50299000 0.50314300 0.50222700 0.50238000 0.50207500 0.50177000 0.50314300 0.50314300 0.50314300 0.50283800 0.50375300 0.50238000 0.50115900 0.50390600 0.49749700 0.49810700 0.49963300,0,9,20,0,20
0.50085400 0.50100700 0.50009100 0.50085400 0.50085400 0.50054900 0.50100700 0.50100700 0.50146400 0.50039600 0.50085400 0.50070100 0.50070100 0.50115900 0.50054900 0.50085400 0.50009100 0.50131200 0.50070100 0.50100700,0,10,20,0,20
0.49822472 0.50582818 0.50718671 0.50802414 0.49473666 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.49780207 0.48436993 0.48059369,1,11,12,0,20
0.50372580 0.50002790 0.50925340 0.50882037 0.49894659 0.51172851 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.48555888 0.48994891,1,11,12,1,20
0.51138962 0.49587997 0.49347346 0.50131813 0.51252217 0.51049764 0.50762124 0.51047985 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400,1,11,12,2,20
0.51053321 0.50300215 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.48604876 0.49498168 0.49282032 0.48717944 0.48171116 0.49448766,1,11,12,3,20
0.51140509 0.49741523 0.49503858 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.49613923 0.48286317 0.48337210 0.49160053 0.49699023,1,11,12,4,20
0.49651984 0.49880957 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.49508730 0.49889527 0.48966852 0.48267932 0.48013388 0.48435900,1,11,12,5,20
0.50619481 0.49501997 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.48977798 0.49345886 0.49124276 0.48377376 0.49561063 0.49387300,1,11,12,6,20
0.50742775 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.48242784 0.48228478 0.49802831 0.48764795 0.48575535 0.48943041 0.49284388,1,11,12,7,20
0.49832952 0.51116374 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400 0.48034782 0.49073512 0.49227806 0.48193504 0.48260963 0.48806976,1,11,12,8,20
0.51199656 0.50455393 0.51132890 0.50874215 0.50196721 0.50834815 0.49292915 0.49476487 0.50262300 0.50659100 0.52185000 0.54885800 0.56121700 0.54779000 0.50842200 0.46234000 0.43991000 0.44692900 0.47180100 0.48965400,1,11,12,9,20
0.50054900 0.50039600 0.50039600 0.50115900 0.50039600 0.50100700 0.49993800 0.50085400 0.50024400 0.50100700 0.50085400 0.50115900 0.50100700 0.50054900 0.50054900 0.50085400 0.50146400 0.50070100 0.50039600 0.50009100,0,12,20,0,20
0.50466900 0.50558400 0.50497400 0.50543200 0.50543200 0.50558400 0.50634700 0.50588900 0.50634700 0.50573700 0.50619500 0.50543200 0.50604200 0.50588900 0.50558400 0.50588900 0.50588900 0.50634700 0.50558400 0.50665200,0,13,20,0,20
0.51126700 0.51126700 0.51141900 0.51111400 0.51126700 0.51080900 0.51096200 0.51096200 0.51080900 0.51080900 0.51096200 0.51080900 0.51080900 0.51050400 0.51080900 0.51080900 0.51096200 0.51080900 0.51096200 0.51111400,0,14,20,0,20
0.50024400 0.50100700 0.50039600 0.50070100 0.50177000 0.49948100 0.50070100 0.49917600 0.50009100 0.50085400 0.50222700 0.50085400 0.50177000 0.50054900 0.50115900 0.50024400 0.50024400 0.50177000 0.50085400 0.50070100,0,15,20,0,20
0.50699400 0.49356700 0.49890700 0.50928300 0.51065700 0.50836800 0.50470600 0.50974100 0.51355600 0.50379000 0.51523400 0.50470600 0.50836800 0.50226400 0.51080900 0.51004600 0.51004600 0.51004600 0.51019900 0.51019900,0,16,20,0,20
0.49963300 0.50009100 0.49963300 0.50024400 0.50024400 0.50039600 0.49948100 0.49963300 0.49948100 0.49932800 0.49978600 0.50009100 0.49993800 0.49887000 0.49948100 0.49932800 0.49978600 0.49978600 0.49963300 0.49932800,0,17,20,0,20
0.50573700 0.50512600 0.50497400 0.50497400 0.50299000 0.50299000 0.50375300 0.50390600 0.50482100 0.50421100 0.50344800 0.49200400 0.51809600 0.50421100 0.50222700 0.50024400 0.50238000 0.49993800 0.49642900 0.49429300,0,18,20,0,20
0.50688548 0.49558078 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.48826221 0.48973000 0.49483529 0.48967326 0.48595658 0.48520777,1,19,12,0,20
0.49945286 0.50398232 0.50830160 0.50001421 0.49588533 0.49566137 0.50586752 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.49383714,1,19,12,1,20
0.49225291 0.50283022 0.49384819 0.50744347 0.49713758 0.49380208 0.50937320 0.49423609 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200,1,19,12,2,20
0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.48346265 0.48090522 0.48016156 0.47832128 0.47898933 0.48131540 0.47895005 0.48943990,1,19,12,3,20
0.49880662 0.49729099 0.50102869 0.50845217 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.49451134 0.47875681 0.48144916 0.48252682,1,19,12,4,20
0.49591635 0.50236533 0.49926011 0.49190617 0.49840554 0.50141395 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.47989202 0.49416660,1,19,12,5,20
0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.49594917 0.47984211 0.49436394 0.49551635 0.49701674 0.49355346 0.49311362 0.49044135,1,19,12,6,20
0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.49310424 0.48053340 0.48836556 0.48793944 0.49463697 0.48693635 0.48542050 0.49038439,1,19,12,7,20
0.49371985 0.50049472 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.48604080 0.48244538 0.48507762 0.48505579 0.48429705 0.48531077,1,19,12,8,20
0.50465984 0.49686791 0.50093800 0.50475200 0.51970600 0.54717200 0.56059900 0.55113900 0.51070300 0.46492700 0.44219100 0.44432700 0.46813100 0.48766200 0.49641764 0.49578348 0.48728963 0.48431393 0.48835321 0.49446119,1,19,12,9,20
0.50943600 0.50974100 0.50989400 0.50974100 0.50958800 0.51019900 0.50989400 0.51019900 0.50913100 0.50974100 0.50928300 0.50989400 0.50989400 0.50958800 0.50958800 0.50958800 0.50989400 0.50913100 0.50974100 0.50974100,0,20,20,0,20
0.50451600 0.50360100 0.50421100 0.50390600 0.50436400 0.50421100 0.50405800 0.50390600 0.50344800 0.50314300 0.50299000 0.50299000 0.50360100 0.50299000 0.50314300 0.50222700 0.50344800 0.50268500 0.50314300 0.50329500,0,21,20,0,20
0.50039600 0.49322500 0.50787300 0.50543200 0.50588900 0.50421100 0.50421100 0.50497400 0.50466900 0.50466900 0.50436400 0.50497400 0.50405800 0.50451600 0.50497400 0.50512600 0.50436400 0.50497400 0.50482100 0.50436400,0,22,20,0,20
0.51065700 0.50668900 0.50623100 0.49631300 0.50592600 0.51019900 0.50653700 0.51325000 0.51157200 0.50958800 0.50745200 0.50791000 0.51157200 0.50791000 0.51019900 0.51019900 0.50318000 0.50775700 0.50943600 0.50638400,0,23,20,0,20
0.49887000 0.49993800 0.49627600 0.50054900 0.49291900 0.49780200 0.49719200 0.51123000 0.49932800 0.49444500 0.49459800 0.50436400 0.49612400 0.49322500 0.49993800 0.49398800 0.49810700 0.49765000 0.49963300 0.49978600,0,24,20,0,20
0.51080900 0.51019900 0.51050400 0.51050400 0.51050400 0.51080900 0.51035100 0.51080900 0.51050400 0.51080900 0.51065700 0.51080900 0.51080900 0.51096200 0.51096200 0.51080900 0.51080900 0.51080900 0.51111400 0.51080900,0,25,20,0,20
0.50421100 0.50421100 0.50451600 0.50390600 0.50482100 0.50497400 0.50451600 0.50436400 0.50405800 0.50360100 0.50390600 0.50421100 0.50421100 0.50451600 0.50360100 0.50421100 0.50390600 0.50436400 0.50421100 0.50405800,0,26,20,0,20
0.50760500 0.50653700 0.51050400 0.50546900 0.50928300 0.51187700 0.50989400 0.51447100 0.51035100 0.52347400 0.50852000 0.50836800 0.50943600 0.51355600 0.50653700 0.51264000 0.50958800 0.50943600 0.50928300 0.50928300,0,27,20,0,20
0.50115900 0.49566600 0.49932800 0.49475000 0.50238000 0.50726300 0.48193300 0.50863600 0.51046700 0.50695800 0.47659300 0.50115900 0.50100700 0.50039600 0.49322500 0.50787300 0.50543200 0.50588900 0.50421100 0.50421100,0,28,20,0,20
0.50100700 0.50024400 0.50085400 0.50054900 0.50100700 0.50070100 0.50054900 0.50070100 0.50009100 0.50085400 0.50070100 0.50100700 0.49993800 0.50054900 0.50009100 0.50085400 0.50131200 0.50039600 0.50054900 0.49963300,0,29,20,0,20
0.50989400 0.51004600 0.50989400 0.50989400 0.50958800 0.51019900 0.51004600 0.51004600 0.51019900 0.51019900 0.51019900 0.51050400 0.51035100 0.51050400 0.51065700 0.51004600 0.51019900 0.51019900 0.51050400 0.51019900,0,30,20,0,20
0.50146400 0.50039600 0.50085400 0.50070100 0.50070100 0.50115900 0.50054900 0.50085400 0.50009100 0.50131200 0.50070100 0.50100700 0.50115900 0.50085400 0.50146400 0.50024400 0.50100700 0.50039600 0.50070100 0.50177000,0,31,20,0,20
0.51111400 0.51096200 0.51126700 0.51111400 0.51111400 0.51141900 0.51080900 0.51080900 0.51141900 0.51096200 0.51141900 0.51141900 0.51187700 0.51141900 0.51111400 0.51126700 0.51141900 0.51172500 0.51126700 0.51172500,0,32,20,0,20
0.51447100 0.51325000 0.50623100 0.51523400 0.51386100 0.50531600 0.50821500 0.52118500 0.50760500 0.51126700 0.50699400 0.50943600 0.50928300 0.51264000 0.50989400 0.50653700 0.51111400 0.51126700 0.51096200 0.50913100,0,33,20,0,20
0.49978600 0.49963300 0.49932800 0.49826000 0.49917600 0.49841300 0.49948100 0.49902300 0.49917600 0.49856500 0.49856500 0.49871800 0.49749700 0.49902300 0.49856500 0.49932800 0.49795500 0.49581900 0.49856500 0.49932800,0,34,20,0,20
0.50604200 0.50588900 0.50558400 0.50588900 0.50588900 0.50634700 0.50558400 0.50665200 0.50680500 0.50634700 0.50665200 0.50619500 0.50665200 0.50604200 0.50619500 0.50619500 0.50695800 0.50588900 0.50604200 0.50619500,0,35,20,0,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.50401794,1,36,19,0,20
0.50120416 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,1,20
0.49630746 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,2,20
0.50525202 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,3,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.50183503,1,36,19,4,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.50513987,1,36,19,5,20
0.50283911 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,6,20
0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500 0.48989004,1,36,19,7,20
0.49222974 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,8,20
0.50927737 0.50054900 0.51153500 0.53381300 0.55853200 0.55685400 0.54296800 0.51733300 0.48086500 0.45309400 0.43280000 0.42517000 0.42272900 0.42623900 0.44958400 0.47445600 0.49063100 0.49536100 0.49871800 0.49795500,1,36,19,9,20
0.50913100 0.51080900 0.51035100 0.51050400 0.51080900 0.51004600 0.51157200 0.51019900 0.51004600 0.51035100 0.51065700 0.51019900 0.51019900 0.51035100 0.51019900 0.51004600 0.50989400 0.51019900 0.50974100 0.51019900,0,37,20,0,20
0.50299000 0.50299000 0.50375300 0.50390600 0.50482100 0.50421100 0.50344800 0.49200400 0.51809600 0.50421100 0.50222700 0.50024400 0.50238000 0.49993800 0.49642900 0.49429300 0.50543200 0.50726300 0.50115900 0.50299000,0,38,20,0,20
0.49627600 0.49017300 0.50131200 0.49993800 0.49841300 0.50054900 0.50283800 0.49948100 0.50711000 0.51412900 0.50161700 0.49932800 0.50039600 0.49932800 0.50131200 0.50421100 0.49368200 0.49917600 0.49749700 0.47537200,0,39,20,0,20
0.50990100 0.51463100 0.52501100 0.54347100 0.57429100 0.59749100 0.60161100 0.60207100 0.59840100 0.57170100 0.52837100 0.48137100 0.43620100 0.41804100 0.41576100 0.41606100 0.42598100 0.45070100 0.47527100 0.49236100,1,40,20,0,20
0.49627600 0.50421100 0.49719200 0.49765000 0.49307200 0.51077200 0.50054900 0.50405800 0.49887000 0.50543200 0.49948100 0.49871800 0.49932800 0.50146400 0.49902300 0.50344800 0.49688700 0.50161700 0.49658200 0.50955200,0,41,20,0,20
0.50543200 0.49948100 0.49871800 0.49932800 0.50146400 0.49902300 0.50344800 0.49688700 0.50161700 0.49658200 0.50955200 0.50222700 0.49902300 0.49993800 0.50009100 0.50054900 0.50131200 0.50085400 0.50115900 0.50054900,0,42,20,0,20
0.49768700 0.49692400 0.49768700 0.50134900 0.50684200 0.52149000 0.53934300 0.55628000 0.55246600 0.54758300 0.51782800 0.46533800 0.44489100 0.43512500 0.43100600 0.44031300 0.46701600 0.48349600 0.49433000 0.49524500,1,43,21,0,20
0.49692400 0.49768700 0.50134900 0.50684200 0.52149000 0.53934300 0.55628000 0.55246600 0.54758300 0.51782800 0.46533800 0.44489100 0.43512500 0.43100600 0.44031300 0.46701600 0.48349600 0.49433000 0.49524500 0.49448200,1,43,21,1,20
0.49581900 0.49475000 0.49627600 0.49536100 0.49887000 0.49993800 0.49627600 0.50054900 0.49291900 0.49780200 0.49719200 0.51123000 0.49932800 0.49444500 0.49459800 0.50436400 0.49612400 0.49322500 0.49993800 0.49398800,0,44,20,0,20
0.51508200 0.50867300 0.50897800 0.51035100 0.51203000 0.50989400 0.51035100 0.50668900 0.51203000 0.50928300 0.50882500 0.50531600 0.50958800 0.50928300 0.50928300 0.51004600 0.50989400 0.50989400 0.50989400 0.50974100,0,45,20,0,20
0.51019900 0.51019900 0.51187700 0.50760500 0.51447100 0.51325000 0.50623100 0.51523400 0.51386100 0.50531600 0.50821500 0.52118500 0.50760500 0.51126700 0.50699400 0.50943600 0.50928300 0.51264000 0.50989400 0.50653700,0,46,20,0,20
0.50958800 0.50958800 0.50958800 0.50943600 0.50974100 0.50974100 0.50943600 0.50958800 0.50974100 0.50958800 0.50958800 0.50989400 0.50989400 0.50974100 0.50974100 0.50989400 0.51004600 0.50974100 0.50958800 0.50989400,0,47,20,0,20
0.51203000 0.51264000 0.51187700 0.50546900 0.50836800 0.51508200 0.50760500 0.50653700 0.51050400 0.50546900 0.50928300 0.51187700 0.50989400 0.51447100 0.51035100 0.52347400 0.50852000 0.50836800 0.50943600 0.51355600,0,48,20,0,20
0.50939900 0.50253200 0.50802600 0.50604200 0.50711000 0.50726300 0.50726300 0.50817800 0.50711000 0.50787300 0.50726300 0.50756800 0.50741500 0.50802600 0.50772000 0.50802600 0.50726300 0.50726300 0.50787300 0.50680500,0,49,20,0,20
0.50375300 0.50192200 0.50192200 0.50253200 0.50299000 0.50329500 0.50390600 0.50360100 0.50314300 0.50161700 0.50314300 0.50299000 0.50283800 0.50344800 0.50329500 0.50344800 0.50283800 0.50314300 0.50360100 0.50314300,0,50,20,0,20
